YYYY-MM-DD,DO0,avg_pax_DO0,avg_fare_DO0,stddev_fare_DO0,DO1,avg_pax_DO1,avg_fare_DO1,stddev_fare_DO1,DO2,avg_pax_DO2,avg_fare_DO2,stddev_fare_DO2,DO3,avg_pax_DO3,avg_fare_DO3,stddev_fare_DO3,DO4,avg_pax_DO4,avg_fare_DO4,stddev_fare_DO4,DO5,avg_pax_DO5,avg_fare_DO5,stddev_fare_DO5
2021-12-01,Manhattan/Upper East Side North/Yellow Zone,1.3672859986728618,6.49434537956202,10.051625746516232,Manhattan/Upper East Side South/Yellow Zone,1.3513934568114916,6.424528288571209,9.779851133806426,Manhattan/Midtown Center/Yellow Zone,1.3543354943273893,9.334206515337788,12.403778363047016,Manhattan/Midtown East/Yellow Zone,1.3410360589131534,9.25316976407768,12.32694261046217,Manhattan/Murray Hill/Yellow Zone,1.341642613487271,10.155412044838918,11.584570978745734
2021-12-02,Manhattan/Upper East Side North/Yellow Zone,1.3815000809978897,6.141386668737457,10.122995302122186,Manhattan/Upper East Side South/Yellow Zone,1.3805399898115143,6.784765591178832,10.086313465783665,Manhattan/Midtown Center/Yellow Zone,1.4041636755204572,9.223555949782867,12.564608758076051,Manhattan/Midtown East/Yellow Zone,1.3913709471534337,9.758796209925201,12.36377840183814,Manhattan/Times Sq/Theatre District/Yellow Zone,1.52500647836227,14.343355629213804,16.183817051049488
2021-12-03,Manhattan/Upper East Side North/Yellow Zone,1.3884986113380158,6.407692173261534,9.867809181506319,Manhattan/Upper East Side South/Yellow Zone,1.3806451612903208,5.830568414230718,9.384394071490833,Manhattan/Midtown Center/Yellow Zone,1.431268436578173,9.647156676440606,12.206114060963575,Manhattan/Times Sq/Theatre District/Yellow Zone,1.6074810606060628,13.078939877647723,15.242343750000018,Manhattan/Upper West Side South/Yellow Zone,1.4414460285132398,8.33411660745646,11.150610997963364
2021-12-04,Manhattan/Upper East Side South/Yellow Zone,1.4554291623578082,6.64579431370723,9.439400206825246,Manhattan/Upper East Side North/Yellow Zone,1.4337860780984713,6.8840282070401955,9.703034804753825,Manhattan/Clinton East/Yellow Zone,1.5374115267947395,11.520210676676028,13.926584934277066,Manhattan/Lincoln Square East/Yellow Zone,1.4828564062902785,7.416861631953313,10.679662284093864,Manhattan/East Village/Yellow Zone,1.5225415238597428,7.656298557550681,11.618323226997077
2021-12-05,Manhattan/Upper East Side North/Yellow Zone,1.4645069080514548,7.282940559408553,9.898904240114316,Manhattan/Upper East Side South/Yellow Zone,1.4633027522935769,8.005152119982172,9.569438073394512,Manhattan/Clinton East/Yellow Zone,1.5020808561236634,13.215481019420064,13.7714357907253,Manhattan/Lincoln Square East/Yellow Zone,1.486409608091026,8.37912222928228,11.033896965865985,Manhattan/Upper West Side South/Yellow Zone,1.484237894052648,9.02299838239903,11.307734806629831
2021-12-06,Manhattan/Upper East Side North/Yellow Zone,1.3866690240452557,7.083786760110452,9.631276520509234,Manhattan/Upper East Side South/Yellow Zone,1.3752429071123238,6.617353745395754,9.450874465604326,Manhattan/Midtown Center/Yellow Zone,1.4002136752136716,9.931043143181673,12.036858974358937,Manhattan/Times Sq/Theatre District/Yellow Zone,1.5232558139534906,14.23500509669362,15.370267441860477,Manhattan/Midtown East/Yellow Zone,1.3788292387018497,10.080162608651637,11.9553230209281
2021-12-07,Manhattan/Upper East Side North/Yellow Zone,1.348573181957654,6.0527028401380685,9.977600490948165,Manhattan/Upper East Side South/Yellow Zone,1.3584126984126976,6.0148735911455695,9.467333333333318,Manhattan/Midtown Center/Yellow Zone,1.3714831538728711,8.921269423948031,11.999617922889906,Manhattan/Midtown East/Yellow Zone,1.3108795119471228,8.89675091762987,11.80937976614135,Manhattan/Murray Hill/Yellow Zone,1.3653444676409177,10.001251328114856,11.261925887265127
2021-12-08,Manhattan/Upper East Side North/Yellow Zone,1.3346805533965507,6.419572678243691,10.025837090004702,Manhattan/Upper East Side South/Yellow Zone,1.3437795275590556,6.2868406152528,9.901529133858315,Manhattan/Midtown Center/Yellow Zone,1.3515543136570032,9.402825496887896,12.772301781348249,Manhattan/Midtown East/Yellow Zone,1.3273214720935926,9.09929222726196,12.268025834755093,Manhattan/Murray Hill/Yellow Zone,1.3326617980357611,9.261055033212765,11.604910601863498
2021-12-09,Manhattan/Upper East Side North/Yellow Zone,1.3744648318042794,6.383001470016852,10.039963302752291,Manhattan/Upper East Side South/Yellow Zone,1.3537895059834293,6.327364158303894,10.120942006750557,Manhattan/Midtown Center/Yellow Zone,1.3977512297962076,9.805757114615952,13.04121574139147,Manhattan/Midtown East/Yellow Zone,1.357664233576642,9.351326262290295,12.402729927007327,Manhattan/Murray Hill/Yellow Zone,1.3321581465625771,9.360422065504551,12.103273734575678
2021-12-10,Manhattan/Upper East Side North/Yellow Zone,1.3821656050955453,6.675342898959404,10.142859537378452,Manhattan/Upper East Side South/Yellow Zone,1.3855963990997762,6.625677254849854,10.203205176294055,Manhattan/Midtown Center/Yellow Zone,1.4392443108630255,10.113329282458702,12.81189351653068,Manhattan/Murray Hill/Yellow Zone,1.4181818181818184,10.436014696411236,12.501317523056658,Manhattan/Lincoln Square East/Yellow Zone,1.4086315214422298,8.036409166519514,11.084730947828465
