Day and Hour,Distribution of the number of trips
2021-12-19 13,6446
2021-12-19 14,6279
2021-12-19 15,6712
2021-12-19 16,6878
2021-12-19 17,6489
2021-12-19 18,6180
2021-12-19 19,5497
2021-12-19 20,5159
2021-12-19 21,4342
2021-12-19 22,3783
2021-12-19 23,3015
2021-12-2 00,4908
2021-12-2 01,2921
2021-12-2 02,1364
2021-12-2 03,686
2021-12-2 04,376
2021-12-2 05,372
2021-12-2 06,790
2021-12-2 07,2292
2021-12-2 08,4753
2021-12-2 09,5826
2021-12-2 10,6209
2021-12-2 11,6552
2021-12-2 12,6762
2021-12-2 13,7027
2021-12-2 14,7215
2021-12-2 15,7840
2021-12-2 16,7842
2021-12-2 17,7299
2021-12-2 18,8276
2021-12-2 19,9115
2021-12-2 20,8016
2021-12-2 21,7168
2021-12-2 22,7093
2021-12-2 23,7001
2021-12-20 00,2090
2021-12-20 01,1116
2021-12-20 02,645
2021-12-20 03,371
2021-12-20 04,225
2021-12-20 05,358
2021-12-20 06,712
2021-12-20 07,1689
2021-12-20 08,3133
2021-12-20 09,4251
2021-12-20 10,5014
2021-12-20 11,5575
2021-12-20 12,5940
2021-12-20 13,6209
2021-12-20 14,6312
2021-12-20 15,6974
2021-12-20 16,7243
2021-12-20 17,6808
2021-12-20 18,6768
2021-12-20 19,6373
2021-12-20 20,5346
2021-12-20 21,4020
2021-12-20 22,3634
2021-12-20 23,3235
2021-12-21 00,2262
2021-12-21 01,1162
2021-12-21 02,598
2021-12-21 03,293
2021-12-21 04,198
2021-12-21 05,331
2021-12-21 06,688
2021-12-21 07,1569
2021-12-21 08,2908
2021-12-21 09,3978
2021-12-21 10,4777
2021-12-21 11,5407
2021-12-21 12,5738
2021-12-21 13,6384
2021-12-21 14,6623
2021-12-21 15,7025
2021-12-21 16,7233
2021-12-21 17,6696
2021-12-21 18,6809
2021-12-21 19,6447
2021-12-21 20,5020
2021-12-21 21,4045
2021-12-21 22,3814
2021-12-21 23,3324
2021-12-22 00,2026
2021-12-22 01,1194
2021-12-22 02,647
2021-12-22 03,371
2021-12-22 04,238
2021-12-22 05,312
2021-12-22 06,712
2021-12-22 07,1594
2021-12-22 08,2600
2021-12-22 09,3841
2021-12-22 10,4600
2021-12-22 11,5155
2021-12-22 12,5727
2021-12-22 13,6304
2021-12-22 14,6573
2021-12-22 15,6906
2021-12-22 16,6953
2021-12-22 17,6789
2021-12-22 18,6742
2021-12-22 19,6200
2021-12-22 20,5024
2021-12-22 21,4265
2021-12-22 22,3668
2021-12-22 23,3203
2021-12-23 00,2081
2021-12-23 01,1224
2021-12-23 02,614
2021-12-23 03,400
2021-12-23 04,260
2021-12-23 05,300
2021-12-23 06,543
2021-12-23 07,1301
2021-12-23 08,2314
2021-12-23 09,3162
2021-12-23 10,4220
2021-12-23 11,4983
2021-12-23 12,5664
2021-12-23 13,6116
2021-12-23 14,6649
2021-12-23 15,7086
2021-12-23 16,7339
2021-12-23 17,6538
2021-12-23 18,6417
2021-12-23 19,5789
2021-12-23 20,4657
2021-12-23 21,3669
2021-12-23 22,3294
2021-12-23 23,3116
2021-12-24 00,2195
2021-12-24 01,1340
