Day and Hour,Distribution of the number of trips
2022-2-11 12,5231
2022-2-11 13,5701
2022-2-11 14,5853
2022-2-11 15,6678
2022-2-11 16,6940
2022-2-11 17,7066
2022-2-11 18,5086
2022-2-11 19,25
2022-2-12 00,1
2022-2-12 09,3
2022-2-12 11,1
2022-2-12 12,1
2022-2-12 17,1
2022-2-12 19,2
2022-2-12 20,1
2022-2-12 22,1
2022-2-13 10,1
2022-2-13 12,1
2022-2-13 14,1
2022-2-13 16,1
2022-2-13 17,1
2022-2-13 18,1
2022-2-13 19,1
2022-2-15 06,1
2022-2-2 00,2513
2022-2-2 01,1240
2022-2-2 02,585
2022-2-2 03,392
2022-2-2 04,233
2022-2-2 05,194
2022-2-2 06,519
2022-2-2 07,1675
2022-2-2 08,3481
2022-2-2 09,4196
2022-2-2 10,4231
2022-2-2 11,4184
2022-2-2 12,4182
2022-2-2 13,4540
2022-2-2 14,4510
2022-2-2 15,5477
2022-2-2 16,5951
2022-2-2 17,6025
2022-2-2 18,6611
2022-2-2 19,7411
2022-2-2 20,6295
2022-2-2 21,4970
2022-2-2 22,4676
2022-2-2 23,4595
2022-2-22 12,1
2022-2-28 09,1
2022-2-28 10,2
2022-2-3 00,2954
2022-2-3 01,1737
2022-2-3 02,826
2022-2-3 03,399
2022-2-3 04,287
2022-2-3 05,282
2022-2-3 06,595
2022-2-3 07,1840
2022-2-3 08,3863
2022-2-3 09,5025
2022-2-3 10,4893
2022-2-3 11,4975
2022-2-3 12,5405
2022-2-3 13,5670
2022-2-3 14,5914
2022-2-3 15,6123
2022-2-3 16,6362
2022-2-3 17,6134
2022-2-3 18,7065
2022-2-3 19,7356
2022-2-3 20,6782
2022-2-3 21,5266
2022-2-3 22,5019
2022-2-3 23,4677
2022-2-4 00,3767
2022-2-4 01,2286
2022-2-4 02,1421
2022-2-4 03,921
2022-2-4 04,504
2022-2-4 05,422
2022-2-4 06,574
2022-2-4 07,1514
2022-2-4 08,3441
2022-2-4 09,4653
2022-2-4 10,4614
2022-2-4 11,4825
2022-2-4 12,5179
2022-2-4 13,5363
2022-2-4 14,5691
2022-2-4 15,6837
2022-2-4 16,7373
2022-2-4 17,6475
2022-2-4 18,7280
2022-2-4 19,7856
2022-2-4 20,7091
2022-2-4 21,5377
2022-2-4 22,5083
2022-2-4 23,5345
2022-2-5 00,5515
2022-2-5 01,4584
2022-2-5 02,3716
2022-2-5 03,2772
2022-2-5 04,1919
2022-2-5 05,943
2022-2-5 06,420
2022-2-5 07,811
2022-2-5 08,1244
2022-2-5 09,2057
2022-2-5 10,3365
2022-2-5 11,4421
2022-2-5 12,5339
2022-2-5 13,6197
2022-2-5 14,6730
2022-2-5 15,6816
2022-2-5 16,7053
2022-2-5 17,7461
2022-2-5 18,7495
2022-2-5 19,7662
2022-2-5 20,7676
2022-2-5 21,5941
2022-2-5 22,5544
2022-2-5 23,5944
2022-2-6 00,5752
2022-2-6 01,4891
2022-2-6 02,3878
2022-2-6 03,2987
2022-2-6 04,2141
2022-2-6 05,1135
2022-2-6 06,436
2022-2-6 07,635
2022-2-6 08,1100
2022-2-6 09,1630
2022-2-6 10,2667
2022-2-6 11,3858
2022-2-6 12,4560
2022-2-6 13,5336
2022-2-6 14,5442
2022-2-6 15,5738
2022-2-6 16,5736
2022-2-6 17,5759
2022-2-6 18,5734
2022-2-6 19,5429
2022-2-6 20,4298
2022-2-6 21,3930
2022-2-6 22,3396
2022-2-6 23,2499
2022-2-7 00,1769
2022-2-7 01,1100
2022-2-7 02,464
2022-2-7 03,281
2022-2-7 04,168
2022-2-7 05,207
2022-2-7 06,548
2022-2-7 07,1741
2022-2-7 08,3651
2022-2-7 09,4828
2022-2-7 10,5016
2022-2-7 11,4778
2022-2-7 12,4731
2022-2-7 13,4980
2022-2-7 14,5309
2022-2-7 15,5685
2022-2-7 16,6281
2022-2-7 17,5647
2022-2-7 18,6317
2022-2-7 19,6532
2022-2-7 20,5305
2022-2-7 21,4224
2022-2-7 22,3683
2022-2-7 23,2738
2022-2-8 00,1824
2022-2-8 01,1124
2022-2-8 02,430
2022-2-8 03,265
2022-2-8 04,153
2022-2-8 05,193
2022-2-8 06,498
2022-2-8 07,1855
2022-2-8 08,3808
2022-2-8 09,5095
2022-2-8 10,5037
2022-2-8 11,5005
2022-2-8 12,5126
2022-2-8 13,5442
2022-2-8 14,5493
2022-2-8 15,6446
2022-2-8 16,6800
2022-2-8 17,6726
2022-2-8 18,7379
2022-2-8 19,8076
2022-2-8 20,6708
2022-2-8 21,5419
2022-2-8 22,5295
2022-2-8 23,4515
2022-2-9 00,2912
2022-2-9 01,1453
2022-2-9 02,715
2022-2-9 03,360
2022-2-9 04,222
2022-2-9 05,214
2022-2-9 06,492
2022-2-9 07,1747
2022-2-9 08,4016
2022-2-9 09,5118
2022-2-9 10,5077
2022-2-9 11,5135
2022-2-9 12,5410
2022-2-9 13,5701
2022-2-9 14,5701
2022-2-9 15,6278
2022-2-9 16,6781
2022-2-9 17,6505
2022-2-9 18,7295
2022-2-9 19,8090
2022-2-9 20,6888
2022-2-9 21,5581
2022-2-9 22,5618
2022-2-9 23,4992
2022-3-1 14,3
2022-3-1 15,1
2022-3-15 21,3
2022-3-22 23,2
2022-3-9 05,1
2022-4-12 03,1
2022-4-12 04,2
2022-4-6 06,1
2022-5-18 22,2
2022-5-24 19,1
2022-5-3 11,1
2022-5-3 12,2
2028-12-7 05,1
